"Term ID","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Prix de la réparation"
167,"Xperia XA",xperia-xa,,80,Sony,sony,0,,,,,,,
168,"Xperia M5",xperia-m5,,80,Sony,sony,0,,,,,,,
169,"Xperia S",xperia-s,,80,Sony,sony,0,,,,,,,
170,"Xperia M2",xperia-m2,,80,Sony,sony,0,,,,,,,
171,"Xperia Z",xperia-z,,80,Sony,sony,0,,,,,,,
172,"Xperia Z2",xperia-z2,,80,Sony,sony,0,,,,,,,
173,"Xperia Z3",xperia-z3,,80,Sony,sony,0,,,,,,,
174,"Xperia Z3 Compact",xperia-z3-compact,,80,Sony,sony,0,,,,,,,
175,"Xperia Z1",xperia-z1,,80,Sony,sony,0,,,,,,,
176,"Xperia Z5",xperia-z5,,80,Sony,sony,0,,,,,,,
177,"Xperia C5 Ultra",xperia-c5-ultra,,80,Sony,sony,0,,,,,,,
178,"Smart Prime 6",smart-prime-6,,82,Vodafone,vodafone,0,,,,,,,
179,Jerry,jerry,,83,Wiko,wiko,0,,,,,,,
180,Rainbow,rainbow,,83,Wiko,wiko,0,,,,,,,
181,"Lenny 2",lenny-2,,83,Wiko,wiko,0,,,,,,,
182,"Cink Peax",cink-peax,,83,Wiko,wiko,0,,,,,,,
183,"Rainbow up 4G",rainbow-up-4g,,83,Wiko,wiko,0,,,,,,,
184,"Sunset 2",sunset-2,,83,Wiko,wiko,0,,,,,,,
185,Lenny,lenny,,83,Wiko,wiko,0,,,,,,,
186,"Lenny 3",lenny-3,,83,Wiko,wiko,0,,,,,,,
187,"Redmi Note 3",redmi-note-3,,84,Xiaomi,xiaomi,0,,,,,,,
188,"Redmi Note 4",redmi-note-4,,84,Xiaomi,xiaomi,0,,,,,,,
189,"Redmi 2",redmi-2,,84,Xiaomi,xiaomi,0,,,,,,,
190,"Redmi 3",redmi-3,,84,Xiaomi,xiaomi,0,,,,,,,
191,"iPad Mini 1",ipad-mini-1,,85,Apple,apple-tablette,0,,,,,,,
192,"iPad Pro 12.9\"",ipad-pro-12-9,,85,Apple,apple-tablette,0,,,,,,,
193,"iPad 5 (2017)",ipad-5-2017,,85,Apple,apple-tablette,0,,,,,,,
194,"iPad 2",ipad-2,,85,Apple,apple-tablette,0,,,,,,,
195,"iPad 4",ipad-4,,85,Apple,apple-tablette,0,,,,,,,
196,"iPad Mini 4",ipad-mini-4,,85,Apple,apple-tablette,0,,,,,,,
197,"iPad 3",ipad-3,,85,Apple,apple-tablette,0,,,,,,,
198,"iPad Air 2",ipad-air-2,,85,Apple,apple-tablette,0,,,,,,,
199,"iPad Mini 2",ipad-mini-2,,85,Apple,apple-tablette,0,,,,,,,
200,"iPad Air 1",ipad-air-1,,85,Apple,apple-tablette,0,,,,,,,
201,"iPad Mini 3",ipad-mini-3,,85,Apple,apple-tablette,0,,,,,,,
202,"101 Copper",101-copper,,86,Archos,archos-tablette,0,,,,,,,
203,"Media Pad T2 Pro",media-pad-t2-pro,,87,Huawei,huawei-tablette,0,,,,,,,
204,"Galaxy Tab 8.9\"",galaxy-tab-8-9,,88,Samsung,samsung-tablette,0,,,,,,,
205,"Galaxy Tab 4 - 10.1\"",galaxy-tab-4-10-1,,88,Samsung,samsung-tablette,0,,,,,,,
206,"Galaxy Tab 2 7\"",galaxy-tab-2-7,,88,Samsung,samsung-tablette,0,,,,,,,
207,"Galaxy Tab S 8.4\"",galaxy-tab-s-8-4,,88,Samsung,samsung-tablette,0,,,,,,,
208,"Galaxy Tab 4 7\"",galaxy-tab-4-7,,88,Samsung,samsung-tablette,0,,,,,,,
209,"GalaxyTab A 9.7\"",galaxytab-a-9-7,,88,Samsung,samsung-tablette,0,,,,,,,
210,"Galaxy Tab 7.0\"",galaxy-tab-7-0,,88,Samsung,samsung-tablette,0,,,,,,,
211,"Galaxy Tab 3 8.0\"",galaxy-tab-3-8-0,,88,Samsung,samsung-tablette,0,,,,,,,
212,"Galaxy Tab Pro 12.2",galaxy-tab-pro-12-2,,88,Samsung,samsung-tablette,0,,,,,,,
213,"Galaxy Tab 2 10.1\"",galaxy-tab-2-10-1,,88,Samsung,samsung-tablette,0,,,,,,,
214,"Galaxy Tab E 9.6\"",galaxy-tab-e-9-6,,88,Samsung,samsung-tablette,0,,,,,,,
215,"Galaxy Tab 4 8\"",galaxy-tab-4-8,,88,Samsung,samsung-tablette,0,,,,,,,
216,"Galaxy Tab 3 Lite",galaxy-tab-3-lite,,88,Samsung,samsung-tablette,0,,,,,,,
217,"Galaxy Tab 4 10.1\"",galaxy-tab-4-10-1-samsung-tablette,,88,Samsung,samsung-tablette,0,,,,,,,
218,"Galaxy Tab A6",galaxy-tab-a6,,88,Samsung,samsung-tablette,0,,,,,,,
219,"Galaxy Tab 3 8\"",galaxy-tab-3-8,,88,Samsung,samsung-tablette,0,,,,,,,
220,"Galaxy Tab 3 10.1\"",galaxy-tab-3-10-1,,88,Samsung,samsung-tablette,0,,,,,,,
221,"Galaxy Tab 3 7\"",galaxy-tab-3-7,,88,Samsung,samsung-tablette,0,,,,,,,
222,"Galaxy Tab 4 8.0\"",galaxy-tab-4-8-0,,88,Samsung,samsung-tablette,0,,,,,,,
223,"Galaxy S4 Active",galaxy-s4-active,,79,Samsung,samsung,0,,,,,,,
224,"Galaxy J3 Pro",galaxy-j3-pro,,79,Samsung,samsung,0,,,,,,,
225,"Galaxy Mega 6.3\"",galaxy-mega-6-3,,79,Samsung,samsung,0,,,,,,,
226,"Xcover 4",xcover-4,,79,Samsung,samsung,0,,,,,,,
227,"Galaxy J7 Pro",galaxy-j7-pro,,79,Samsung,samsung,0,,,,,,,
228,"Galaxy J5 Pro",galaxy-j5-pro,,79,Samsung,samsung,0,,,,,,,
229,"Galaxy Note 8",galaxy-note-8,,79,Samsung,samsung,0,,,,,,,
230,"Galaxy J100",galaxy-j100,,79,Samsung,samsung,0,,,,,,,
231,"Galaxy Ace 4",galaxy-ace-4,,79,Samsung,samsung,0,,,,,,,
232,"Galaxy Mega",galaxy-mega,,79,Samsung,samsung,0,,,,,,,
233,"Galaxy J110",galaxy-j110,,79,Samsung,samsung,0,,,,,,,
234,"Galaxy J5 (2015)",galaxy-j5-2015,,79,Samsung,samsung,0,,,,,,,
235,"Galaxy Note 1",galaxy-note-1,,79,Samsung,samsung,0,,,,,,,
236,"Galaxy J111",galaxy-j111,,79,Samsung,samsung,0,,,,,,,
237,"Galaxy S6",galaxy-s6,,79,Samsung,samsung,0,,,,,,,
238,"Galaxy J7 Prime",galaxy-j7-prime,,79,Samsung,samsung,0,,,,,,,
239,"Galaxy S7 Edge",galaxy-s7-edge,,79,Samsung,samsung,0,,,,,,,
240,"Galaxy A5 2016",galaxy-a5-2016,,79,Samsung,samsung,0,,,,,,,
241,"Galaxy Note 3",galaxy-note-3,,79,Samsung,samsung,0,,,,,,,
242,"Galaxy S5",galaxy-s5,,79,Samsung,samsung,0,,,,,,,
243,"Galaxy J320",galaxy-j320,,79,Samsung,samsung,0,,,,,,,
244,"Galaxy J120 2016",galaxy-j120-2016,,79,Samsung,samsung,0,,,,,,,
245,"Galaxy S4 Mini",galaxy-s4-mini,,79,Samsung,samsung,0,,,,,,,
246,"Galaxy S4",galaxy-s4,,79,Samsung,samsung,0,,,,,,,
247,"Galaxy Note 2",galaxy-note-2,,79,Samsung,samsung,0,,,,,,,
248,"Galaxy S6 edge",galaxy-s6-edge,,79,Samsung,samsung,0,,,,,,,
249,"Galaxy Xcover 3",galaxy-xcover-3,,79,Samsung,samsung,0,,,,,,,
250,"Galaxy A7 2015",galaxy-a7-2015,,79,Samsung,samsung,0,,,,,,,
251,"Galaxy Note 4",galaxy-note-4,,79,Samsung,samsung,0,,,,,,,
252,"Galaxy A5 2017",galaxy-a5-2017,,79,Samsung,samsung,0,,,,,,,
253,"Galaxy A320",galaxy-a320,,79,Samsung,samsung,0,,,,,,,
254,"Galaxy J5 Prime",galaxy-j5-prime,,79,Samsung,samsung,0,,,,,,,
255,"Galaxy S3",galaxy-s3,,79,Samsung,samsung,0,,,,,,,
256,"Galaxy J7 (2016)",galaxy-j7-2016,,79,Samsung,samsung,0,,,,,,,
257,"Galaxy Mega 2",galaxy-mega-2,,79,Samsung,samsung,0,,,,,,,
