"Term ID","Term Name","Term Slug",thumbnails,"Parent ID","Image URL","Image Title"
317,"iPhone SE",iphone-se-apple,http://localhost/atom-wp/wp-content/uploads/models/iphone-se.jpg,70,,
318,"iPhone 7",iphone-7-apple,http://localhost/atom-wp/wp-content/uploads/models/iphone-7.jpg,70,,
319,"iPhone 6",iphone-6-apple,http://localhost/atom-wp/wp-content/uploads/models/iphone-6.jpg,70,,
320,"iPhone 4S",iphone-4s-apple,http://localhost/atom-wp/wp-content/uploads/models/iphone-4s.jpg,70,,
321,"iPod Touch 4",ipod-touch-4-apple,http://localhost/atom-wp/wp-content/uploads/models/ipod-touch-4.jpg,70,,
322,"iPhone 5S",iphone-5s-apple,http://localhost/atom-wp/wp-content/uploads/models/iphone-5s.jpg,70,,
323,"iPhone 8 Plus",iphone-8-plus-apple,http://localhost/atom-wp/wp-content/uploads/models/iphone-8-plus.jpg,70,,
324,"iPod Touch 5",ipod-touch-5-apple,http://localhost/atom-wp/wp-content/uploads/models/ipod-touch-5.jpg,70,,
325,"iPhone XS",iphone-xs-apple,http://localhost/atom-wp/wp-content/uploads/models/iphone-xs.jpg,70,,
326,"iPhone X",iphone-x-apple,http://localhost/atom-wp/wp-content/uploads/models/iphone-x.jpg,70,,
